ONS code,Planning authority,Dwellings,"Offices, research and development, light industry","General industry, storage, warehousing","Retail
and
service",Traveller pitches,All other major and minor developments,Change of Use,Householder developments,Advertisements,Listed building consents (to alter/extend),listed building consents (to demolish),Conservation area consents,Total,Enforcement Notices issued,Stop Notices issued,Temporary Stop Notices issued,Breach of Condition Notices served,Planning Contravention Notices served ,Enforcement injunctions granted by High Court or County Court,Enforcement injunctions refused by High Court or County Court    ,Year
E09000019,Islington,679,97,9,110,0,86,38,459,140,314,1,0,"1,933",49,0,1,6,15,0,0,2017
E09000020,Kensington and Chelsea,672,1,0,78,0,299,159,910,209,601,0,0,"2,929",17,2,16,25,24,0,0,2017
E09000021,Kingston upon Thames,181,2,0,10,1,219,36,"1,113",76,23,0,0,"1,661",1,0,0,0,6,0,0,2017
E09000022,Lambeth,234,5,1,2,0,617,118,"1,341",214,108,5,0,"2,645",18,0,0,8,29,0,0,2017
E09000023,Lewisham,240,2,3,2,0,625,76,941,96,61,0,0,"2,046",22,0,0,1,38,0,0,2017
E09000024,Merton,264,0,0,0,0,195,45,"1,295",71,20,1,0,"1,891",4,0,0,0,1,0,0,2017
E09000025,Newham,208,1,2,7,0,475,52,717,96,9,0,0,"1,567",165,7,5,2,84,0,0,2017
E09000026,Redbridge,253,0,1,0,0,283,65,"1,498",63,9,0,0,"2,172",15,0,0,29,0,0,0,2017
E09000027,Richmond upon Thames,204,12,0,30,0,740,49,"1,766",75,93,0,0,"2,969",15,0,0,0,0,0,0,2017
E09000028,Southwark,549,23,4,58,0,296,115,638,205,192,0,0,"2,080",59,2,1,3,86,3,0,2017
E09000029,Sutton,199,2,0,5,0,230,46,919,61,14,1,0,"1,477",23,0,0,0,0,0,0,2017
E09000030,Tower Hamlets,180,50,4,66,0,358,118,210,116,175,1,0,"1,278",26,0,0,2,0,0,0,2017
E09000031,Waltham Forest,600,2,2,19,0,191,98,619,49,6,0,0,"1,586",16,1,1,0,20,0,0,2017
E09000032,Wandsworth,"1,134",31,8,104,0,159,52,"1,408",147,38,1,0,"3,082",18,0,0,4,10,0,0,2017
E09000033,Westminster,157,47,2,540,0,"2,039",319,577,"1,051","1,897",0,0,"6,629",125,0,0,7,473,0,0,2017
NaN,England,"62,407","2,389","2,661","4,670",236,"59,876","20,783","208,109","16,889","27,743",359,97,"406,219","3,867",135,228,698,"4,144",41,2,2018
NaN,London boroughs,"10,240",624,137,"1,362",4,"11,963","2,676","31,882","4,234","4,512",23,6,"67,663","1,376",21,31,147,867,0,0,2018
E09000002,Barking and Dagenham,138,3,7,9,0,73,37,488,42,1,0,0,798,57,0,0,3,0,0,0,2018
E09000003,Barnet,567,4,1,4,0,534,118,"1,903",104,94,0,5,"3,334",128,0,1,10,75,0,0,2018
E09000004,Bexley,143,6,6,42,0,112,67,"1,285",53,5,0,0,"1,719",19,3,6,4,7,0,0,2018
